,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
54,600892.SH,20190226,6.09,7.9071,18.4275,0.87,11.3527,15.9116,1.7229,10.845,12.001,55946.4188,53956.8296,23152.35,340713.6905,328597.0923
55,002290.SZ,20190226,10.41,10.9839,24.1693,2.47,1065.5344,69.2429,2.0101,1.7649,1.5245,24271.233,21031.9125,9558.1326,252663.5355,218942.2091
56,002803.SZ,20190226,18.2,13.3197,13.3291,0.96,44.8438,17.4496,5.2689,3.1688,1.595,19720.0,7803.5142,7798.019,358904.0,142023.9584
57,603077.SH,20190226,1.99,2.1984,4.0885,2.2,33.9572,28.2644,1.5666,3.7095,2.9341,883125.0228,883125.0228,474858.5615,1757418.7954,1757418.7954
58,603629.SH,20190226,38.5,41.5176,41.5176,1.11,43.7383,37.6544,4.1748,2.3054,2.2585,10000.0,2500.0,2500.0,385000.0,96250.0
59,002826.SZ,20190226,11.24,4.0042,4.8206,1.8,35.2608,56.2519,3.53,5.6074,4.7239,18972.0,13168.5318,10938.2635,213245.28,148014.2974
60,002027.SZ,20190226,7.13,1.4846,2.0797,0.96,17.4285,15.1717,7.7353,8.7113,7.3905,1467788.028,1467788.028,1047765.9903,10465328.6396,10465328.6396
61,002121.SZ,20190226,5.27,1.9818,2.9143,1.14,16.1819,35.7533,1.5425,1.6961,1.6329,140834.9147,90561.7362,61583.9884,742200.0005,477260.3498
62,000638.SZ,20190226,5.92,7.928,13.9065,1.48,113.3174,,7.4348,14.2574,26.7089,30940.0,30940.0,17638.635,183164.8,183164.8
63,002069.SZ,20190226,4.01,2.7851,6.1325,1.43,,,7.5064,0.8895,0.9547,71111.2194,68869.5694,31277.1764,285155.9898,276166.9733
64,300099.SZ,20190226,5.13,6.6531,8.7298,1.79,33.7787,35.9973,1.9482,8.1185,7.6955,66927.9255,39167.4908,29850.0911,343340.2578,200929.2278
65,002873.SZ,20190226,17.97,5.4125,7.6171,1.88,31.8257,30.3314,3.1273,3.0867,3.1025,11709.6,6537.0498,4645.0548,210421.512,117470.7849
66,002310.SZ,20190226,8.37,11.1395,13.252,1.67,10.3205,9.8304,1.8518,1.4762,1.3841,268546.2004,153769.4956,129257.2781,2247731.6973,1287050.6782
67,300415.SZ,20190226,7.13,3.3504,3.8633,1.49,11.1807,13.3933,2.7644,1.5337,1.4874,43200.0,29367.345,25468.545,308016.0,209389.1699
68,002569.SZ,20190226,11.67,6.2195,8.8732,1.16,,,3.3633,4.7514,4.1447,14001.0,13976.655,9796.655,163391.67,163107.5639
69,600802.SH,20190226,8.21,5.4841,8.7344,1.7,,12.528,3.4988,1.7092,1.1791,38187.3666,38187.3666,23976.8793,313518.2798,313518.2798
70,002330.SZ,20190226,5.22,3.738,13.673,1.08,352.9946,316.9307,1.9727,1.629,1.3353,50200.0,50194.39,13722.39,262044.0,262014.7158
71,603599.SH,20190226,14.15,1.0457,2.0839,1.21,19.4979,15.4117,1.4456,2.8026,2.3652,46467.9135,46467.9135,23316.5649,657520.976,657520.976
72,000547.SZ,20190226,10.66,2.6312,3.0215,0.94,61.9882,51.163,2.3316,7.2838,6.8302,160567.8881,111436.9011,97042.003,1711653.6871,1187917.3657
73,002810.SZ,20190226,19.75,4.3547,4.3547,1.09,50.764,36.0048,3.1953,3.6099,2.8077,11906.4,6139.2172,6139.2172,235151.4,121249.5397
74,300090.SZ,20190226,2.36,11.8982,13.4788,1.47,,,4.7241,2.2942,3.9142,131995.2922,114201.7429,100810.2189,311508.8896,269516.1132
75,300590.SZ,20190226,34.25,6.1209,13.2087,1.28,57.0571,44.421,6.4005,15.2603,11.6144,16149.0,9700.0,4495.0,553103.25,332225.0
76,000613.SZ,20190226,7.28,8.2392,11.3081,1.28,4057.4319,4057.4319,34.075,89.805,89.805,36410.0,26564.56,19355.382,265064.8,193389.9968
77,300697.SZ,20190226,12.12,17.2878,17.2878,2.04,41.169,37.4292,3.3744,1.9192,1.7983,20800.0,5200.0,5200.0,252096.0,63024.0
78,600365.SH,20190226,4.4,12.4895,15.8892,3.48,290.2531,325.4088,2.5462,1.8697,1.741,40000.0,40000.0,31441.6792,176000.0,176000.0
79,603606.SH,20190226,10.57,2.5533,4.8491,1.05,105.9573,41.3479,3.1771,2.5793,2.0054,50315.7324,49141.8194,25875.9329,531837.2915,519429.0311
80,002140.SZ,20190226,7.25,1.8383,4.6187,1.57,,,1.5598,1.1117,0.8992,44603.4534,43957.4177,17495.0355,323375.0372,318691.2783
81,002200.SZ,20190226,6.37,3.4626,4.3983,1.65,,,5.5275,1.7552,2.5209,18413.289,13161.8104,10361.6916,117292.6509,83840.7322
82,002068.SZ,20190226,6.4,4.2546,8.6773,1.71,9.6785,7.7326,1.365,0.6698,0.5815,72706.3596,60699.9471,29762.1087,465320.7014,388479.6614
83,002236.SZ,20190226,16.72,4.1801,5.0107,0.8,21.0702,20.0648,4.0896,2.6597,2.2626,299762.193,183430.915,153025.7604,5012023.867,3066964.8988
84,300254.SZ,20190226,7.37,2.9979,3.4078,1.63,70.8347,78.5771,1.8867,1.6351,1.4056,20830.8,16188.8654,14241.5102,153522.996,119311.938
85,002435.SZ,20190226,7.04,7.9232,12.2272,0.93,17.3319,14.6847,1.1078,1.9421,1.2296,82398.868,30200.9148,19570.0086,580088.0307,212614.4402
86,601088.SH,20190226,20.81,0.2765,1.7022,1.72,9.1903,9.2666,1.2897,1.664,1.5901,1988962.0455,1649103.7955,267832.8759,41390300.1669,34317849.9844
87,600860.SH,20190226,5.37,1.4504,3.3536,1.48,108.5921,49.61,4.1616,1.883,2.0262,42200.0,32200.0,13926.4948,226614.0,172914.0
88,600765.SH,20190226,9.77,3.5608,5.888,1.25,22.8162,22.8162,1.7884,1.3962,1.3962,77800.32,77800.32,47049.8869,760109.1264,760109.1264
89,600729.SH,20190226,30.71,1.5035,2.7366,1.68,20.6208,14.3072,2.2623,0.3793,0.3635,40652.8465,40642.6465,22329.3341,1248448.916,1248135.674
90,300467.SZ,20190226,24.58,8.4369,9.8954,1.08,54.1862,24.7601,1.7586,19.9453,8.3287,22574.0759,13188.6797,11244.6962,554870.7856,324177.747
91,002529.SZ,20190226,7.58,4.8077,7.9307,1.07,281.2019,,1.4033,7.2391,8.1892,26000.0,20000.0,12124.29,197080.0,151600.0
92,000829.SZ,20190226,6.23,2.7063,4.9562,2.24,27.602,30.5778,2.3703,0.1631,0.1493,103763.3454,92988.3834,50774.3684,646445.6418,579317.6286
93,002585.SZ,20190226,6.12,6.7877,8.88,1.17,94.7932,33.8847,0.926,2.3409,1.8705,115627.8085,85219.2212,65139.547,707642.188,521541.6337
94,002831.SZ,20190226,51.2,0.9971,1.0031,1.02,21.9771,23.7218,3.8554,2.9478,2.5996,40001.0,11947.1299,11875.6276,2048051.2,611693.0509
95,600891.SH,20190226,5.49,9.9354,12.9647,0.78,20.7243,29.9021,1.0991,0.4975,0.4854,61758.5803,38424.2051,29445.9819,339054.6058,210948.886
96,002463.SZ,20190226,11.1,7.5595,11.5426,1.22,94.0893,33.4981,5.0011,4.1387,3.4836,172512.0663,167370.5033,109613.943,1914883.9359,1857812.5866
97,603959.SH,20190226,20.15,3.2044,4.4501,0.76,58.2335,44.8747,6.0454,10.5861,8.7518,31360.0,14896.0,10726.3032,631904.0,300154.4
98,300624.SZ,20190226,61.27,10.4238,20.3355,1.34,72.4711,60.0048,7.8562,10.64,9.0982,8114.2,4851.999,2487.097,497157.034,297281.9787
99,000839.SZ,20190226,4.6,6.0575,9.5318,1.53,69.5189,1063.4398,2.5451,4.1333,4.3616,391982.6352,391900.7202,249051.8857,1803120.1219,1802743.3129
100,300274.SZ,20190226,12.21,5.9137,7.1859,1.38,17.3043,20.1325,2.3535,1.9945,2.2465,145151.36,106592.8151,87720.4631,1772298.1056,1301498.2724
101,600152.SH,20190226,7.01,5.598,9.0867,1.19,185.8848,41.4962,2.0836,1.9352,1.9425,44093.164,29494.219,18170.304,309093.0796,206754.4752
102,300049.SZ,20190226,10.18,3.0967,3.7685,1.97,37.2617,32.9086,1.8625,3.1517,3.1481,26305.31,22796.6722,18732.7067,267788.0558,232070.123
103,600540.SH,20190226,4.66,4.6257,8.0528,1.78,197.6987,416.4425,3.4993,1.9903,3.3503,47092.3313,47092.3313,27050.8513,219450.2639,219450.2639
104,002686.SZ,20190226,7.12,1.2541,1.7548,1.88,22.3786,28.1179,2.0484,2.3013,2.1019,44168.9021,34816.0331,24881.9331,314482.583,247890.1557
105,601311.SH,20190226,9.95,2.4403,5.211,0.91,17.4765,16.2184,1.5155,1.1081,0.9454,84839.7772,84839.7772,39730.5354,844155.7831,844155.7831
106,600358.SH,20190226,4.13,1.8798,2.648,1.36,64.5494,,3.9862,7.253,6.5625,50493.666,50493.666,35844.3894,208538.8406,208538.8406
107,300648.SZ,20190226,18.93,9.4239,9.4239,1.24,40.9283,58.9661,4.7963,8.3061,7.3105,13540.0,6004.1338,6004.1338,256312.2,113658.2528
108,002382.SZ,20190226,16.05,1.3881,3.2328,1.8,77.0306,51.1949,2.078,9.818,6.9987,96403.1086,48576.1889,20857.3889,1547269.893,779647.8318
109,600616.SH,20190226,5.31,1.6558,2.6082,1.78,49.518,81.5077,1.3465,2.7688,3.0431,51461.9192,51461.9192,32670.232,273262.791,273262.791
110,000889.SZ,20190226,11.45,1.5902,4.5646,2.93,33.5164,36.0273,2.1771,3.6354,2.6259,66910.1883,62164.3712,21656.3992,766121.656,711782.0502
111,300570.SZ,20190226,22.62,10.605,12.0592,0.97,51.9688,33.1563,4.2612,10.6219,6.5517,22999.68,9533.6406,8383.9766,520252.7616,215650.9504
112,601519.SH,20190226,6.48,0.2213,0.6058,0.11,33.6366,,9.5873,20.1811,22.1537,198770.0,198770.0,72606.955,1288029.6,1288029.6
113,002094.SZ,20190226,5.4,4.3329,6.1817,1.8,9.2813,20.3548,1.2742,0.7997,0.6857,69255.1924,60286.8758,42255.8911,373978.039,325549.1293
114,603067.SH,20190226,8.94,5.2182,5.2182,1.58,27.4999,17.2792,2.2786,2.3227,2.0094,30800.0,15560.93,15560.93,275352.0,139114.7142
115,601677.SH,20190226,10.09,1.3887,2.0067,1.89,16.9103,11.9416,1.0028,0.5743,0.4467,58987.6415,57462.1415,39765.3668,595185.3027,579793.0077
116,300379.SZ,20190226,19.03,7.796,8.1663,0.82,,,3.6881,18.006,17.9243,27703.1708,19226.0533,18354.286,527191.3403,365871.7943
117,000685.SZ,20190226,8.8,2.309,4.9896,1.52,12.1667,15.6773,1.0526,8.0427,7.0062,147511.1351,125322.9908,57994.6553,1298097.9889,1102842.319
118,300268.SZ,20190226,13.66,3.8243,4.046,1.28,747.306,74.4387,7.694,3.1853,0.9497,13400.0,9840.1081,9300.9781,183044.0,134415.8766
119,600202.SH,20190226,4.02,1.3916,2.1094,1.21,,,2.5409,5.6352,3.5578,38334.0672,38334.0672,25289.1287,154102.9501,154102.9501
120,600675.SH,20190226,5.96,0.6432,0.9767,2.32,82.5511,34.1164,2.5292,3.9532,2.6163,508011.271,186705.9398,122961.9266,3027747.1752,1112767.4012
121,603018.SH,20190226,18.39,2.1929,2.3099,1.79,19.4526,16.0443,2.4896,2.0786,1.5189,31379.7533,30888.1211,29322.8873,577073.6632,568032.547
122,002795.SZ,20190226,16.27,13.0867,13.0867,0.97,40.0085,40.0085,5.0219,5.0499,5.0499,20000.0,6375.0,6375.0,325400.0,103721.25
123,603038.SH,20190226,18.63,3.8506,6.1352,1.64,19.2649,23.0894,1.7793,2.6957,2.4384,9399.88,3759.658,2359.658,175119.7644,70042.4285
124,002030.SZ,20190226,11.45,3.5897,5.3594,1.83,105.6172,103.2666,5.1387,5.9195,5.7964,79741.2519,76381.1021,51159.0053,913037.3343,874563.619
125,300239.SZ,20190226,4.45,2.7848,4.189,1.84,92.109,63.6308,2.7497,5.7959,4.56,46399.4108,44492.634,29578.254,206477.3781,197992.2213
126,601333.SH,20190226,3.78,1.2845,2.4019,1.26,26.3707,24.5503,0.9223,1.4606,1.356,708353.7,565223.7,302278.57,2677576.986,2136545.586
127,300583.SZ,20190226,35.5,4.8999,4.8999,1.86,41.6687,29.8143,2.1107,4.88,3.5249,10798.8667,3404.3947,3404.3947,383359.7679,120856.0119
128,300636.SZ,20190226,19.34,3.3674,5.5037,2.38,24.0488,58.0132,2.3824,5.3053,5.8931,8139.5,4730.0369,2894.0244,157417.93,91478.9136
